id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,extracted_at
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104299.0,2072946039502,1,2072972743105,14455617296,104896.0,103939.0,172.82,0.16597,3089623051.0,0.14927,19872756.0,19873012.0,21000000.0,111814.0,-6.77464,2025-05-22T18:41:28.492Z,67.81,153624.66908,2013-07-06T00:00:00.000Z,,2025-06-01T13:55:05.966Z,2025-06-01 13:55:09.634997
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2495.2,301196334477,2,301196334477,9659080771,2545.51,2483.83,-37.61309981799013,-1.48503,-4870050748.74353,-1.59117,120723843.901116,120723843.901116,,4878.26,-48.88977,2021-11-10T14:24:19.604Z,0.432979,575745.74155,2015-10-20T00:00:00.000Z,"{'times': 30.972594328655372, 'currency': 'btc', 'percentage': 3097.2594328655373}",2025-06-01T13:55:05.732Z,2025-06-01 13:55:09.634997
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.189358,28312450165,8,28318835408,872630218,0.194966,0.187604,-0.002808669065212932,-1.46158,-437486236.95386505,-1.52169,149471636383.7052,149505346383.7052,,0.731578,-74.12849,2021-05-08T05:08:23.458Z,8.69e-05,217693.00503,2015-05-06T00:00:00.000Z,,2025-06-01T13:55:04.812Z,2025-06-01 13:55:09.634997
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104299.0,2072946039502,1,2072972743105,14455617296,104896.0,103939.0,172.82,0.16597,3089623051.0,0.14927,19872756.0,19873012.0,21000000.0,111814.0,-6.77464,2025-05-22T18:41:28.492Z,67.81,153624.66908,2013-07-06T00:00:00.000Z,,2025-06-01T13:55:05.966Z,2025-06-01 13:55:53.633508
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2495.2,301196334477,2,301196334477,9659080771,2545.51,2483.83,-37.61309981799013,-1.48503,-4870050748.74353,-1.59117,120723843.901116,120723843.901116,,4878.26,-48.88977,2021-11-10T14:24:19.604Z,0.432979,575745.74155,2015-10-20T00:00:00.000Z,"{'times': 30.972594328655372, 'currency': 'btc', 'percentage': 3097.2594328655373}",2025-06-01T13:55:05.732Z,2025-06-01 13:55:53.633508
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.189358,28312450165,8,28318835408,872630218,0.194966,0.187604,-0.002808669065212932,-1.46158,-437486236.95386505,-1.52169,149471636383.7052,149505346383.7052,,0.731578,-74.12849,2021-05-08T05:08:23.458Z,8.69e-05,217693.00503,2015-05-06T00:00:00.000Z,,2025-06-01T13:55:04.812Z,2025-06-01 13:55:53.633508
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104579.0,2078199268656,1,2078199268656,15551998578,104896.0,103939.0,228.17,0.21866,4687676118.0,0.22607,19873012.0,19873012.0,21000000.0,111814.0,-6.48632,2025-05-22T18:41:28.492Z,67.81,154100.09849,2013-07-06T00:00:00.000Z,,2025-06-01T14:24:13.638Z,2025-06-01 14:24:22.150274
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2504.6,302195747706,2,302195747706,9858930806,2545.51,2483.83,-33.87547934762233,-1.33448,-4311820634.7872925,-1.40676,120723843.901116,120723843.901116,,4878.26,-48.69463,2021-11-10T14:24:19.604Z,0.432979,577944.28761,2015-10-20T00:00:00.000Z,"{'times': 30.989169051812365, 'currency': 'btc', 'percentage': 3098.9169051812364}",2025-06-01T14:24:13.322Z,2025-06-01 14:24:22.150274
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.19093,28518714311,8,28525146072,917540211,0.194966,0.187604,-0.001579368862162644,-0.82041,-255987753.69073486,-0.88963,149471636383.7052,149505346383.7052,,0.731578,-73.95212,2021-05-08T05:08:23.458Z,8.69e-05,219177.73004,2015-05-06T00:00:00.000Z,,2025-06-01T14:24:13.164Z,2025-06-01 14:24:22.150274
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,104579.0,2078199268656,1,2078199268656,15551998578,104896.0,103939.0,228.17,0.21866,4687676118.0,0.22607,19873012.0,19873012.0,21000000.0,111814.0,-6.48632,2025-05-22T18:41:28.492Z,67.81,154100.09849,2013-07-06T00:00:00.000Z,,2025-06-01T14:24:13.638Z,2025-06-01 14:25:09.076781
